2024/07/06 19:45:55 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:46:04 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:46:09 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:46:15 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:46:20 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:52:06 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:52:13 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:52:18 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:52:23 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:52:28 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:52:33 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:52:39 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:52:44 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:52:58 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:53:03 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:53:10 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:53:13 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:53:19 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:53:26 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:53:33 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:53:37 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:55:05 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:55:10 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:55:16 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:55:21 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:55:26 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:55:30 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:55:36 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:55:39 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:55:50 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:55:56 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:56:02 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/06 19:56:06 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:43:51 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:44:00 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:44:17 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:44:22 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:44:31 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:44:37 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:44:44 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:44:51 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:47:21 logger.go:19: ERROR: failed to save image | exit status 1
2024/07/07 08:47:28 logger.go:19: ERROR: failed to save image | exit status 1
